Block,Treatment,Depth,pH,moisture,C,N,Cnratio,Fe2,Fe2and3,Feratio,Fe,Al,Si,Bpi,Bpo,Bt,Npi,Npo,Nt,TP
C,Trim,70,4.70,31.5,1.01,0.07,14.7,0.063,0.306,20.5,0.25,,,1.2,3.0,4.2,10.4,21.8,32.2,36.5
C,Trim,80,4.68,30.3,0.73,0.05,14.5,0.053,0.249,21.3,0.17,,,1.2,3.0,4.2,13.7,20.7,34.4,38.6
C,Trim,90,4.53,30.4,0.57,0.04,13.1,0.036,0.214,16.7,0.11,,,1.2,3.0,4.2,16.0,24.8,40.8,45.1
C,Trim,100,4.56,30.3,0.51,0.04,11.9,0.030,0.163,18.4,0.09,,,1.2,3.0,4.2,15.5,21.0,36.5,40.8
C,Trim+Debris,10,4.69,43.6,5.23,0.44,12.0,0.205,2.753,7.5,1.16,0.49,0.03,1.7,11.2,12.8,18.8,58.6,77.4,90.3
C,Trim+Debris,20,4.88,40.6,3.07,0.25,12.0,0.097,1.437,6.8,0.74,0.45,0.02,1.5,9.2,10.7,9.9,28.8,38.7,49.4
C,Trim+Debris,30,4.89,38.8,2.46,0.20,12.2,0.080,1.146,7.0,0.60,0.45,0.01,1.5,7.1,8.5,8.5,32.3,40.8,49.4
C,Trim+Debris,40,4.95,36.2,1.70,0.13,13.2,0.069,0.554,12.4,0.29,0.45,0.01,1.2,7.3,8.5,6.6,21.3,27.9,36.5
C,Trim+Debris,50,4.84,35.6,1.29,0.10,13.2,0.055,0.379,14.5,0.16,0.44,0.01,1.2,7.3,8.5,7.1,16.5,23.6,32.1
C,Trim+Debris,60,4.91,34.1,0.91,0.07,13.3,0.042,0.289,14.4,0.11,0.44,0.01,1.2,7.3,8.5,7.8,20.1,27.9,36.5
C,Trim+Debris,70,4.94,35.3,0.89,0.06,13.8,0.034,0.222,15.2,0.07,0.43,0.01,1.2,5.2,6.4,6.4,12.9,19.3,25.7
C,Trim+Debris,80,4.94,35.5,0.89,0.06,13.8,0.032,0.218,14.6,0.08,0.43,0.01,1.2,3.0,4.2,6.9,14.6,21.5,25.7
C,Trim+Debris,90,4.89,36.3,1.03,0.07,14.3,0.047,0.249,19.0,0.10,0.45,0.01,1.2,5.2,6.4,7.8,18.0,25.8,32.1
C,Trim+Debris,100,4.91,36.1,0.90,0.07,13.6,0.032,0.268,11.9,0.09,0.44,0.01,1.2,3.0,4.2,8.0,17.7,25.8,30.0
